,MDS1,MDS2
CIA_01,9.850102183689877,-0.6671581484586167
CIA_02,6.570593601689209,4.167885883238558
CIA_03,7.15846912464945,-1.3165592609294254
CIA_04,9.43005779674742,-0.14696256769284777
CIA_05,12.158755650121975,-0.41801095501993923
CIA_06,7.833038712131436,7.15874588682265
CIA_07,-1.069282561296231,-2.796261024089189
CIA_08,4.583273926046612,4.5514980293808325
CIA_09,14.906139365700398,-0.37761635586255604
CIA_10,-1.866545598516759,-6.823605956767399
CIA_11,9.000666668230181,4.101854783449235
CIA_12,6.033192363110688,0.8285640988633414
CIA_13,0.8831070184481291,-4.095027160740923
CIA_14,11.644591666892536,-1.482660021671241
CIA_15,14.626696706969296,1.076812447143624
CIA_16,4.816701075857779,-6.677448005132528
CIA_17,7.383327455889913,-0.9864337024686913
CIA_18,12.167102563309705,1.6626064981242592
CIA_19,13.365575753355339,0.8911042678362538
CIA_20,15.038307232705463,3.394998865849924
CIA_21,6.667492085742677,-0.3436924300974864
CIA_22,3.804396867239379,9.745383877187054
CIA_23,8.413078300675785,1.898906228810456
CIA_24,10.60882633745004,-2.459641322137871
CIA_25,12.488659239226678,1.8545160726725047
CIA_26,8.162362306108735,-1.685335945801753
CIA_27,10.951380815320023,0.04887701026263527
CIA_28,5.908017406907113,-9.087266082785858
CIA_29,15.85676676202096,1.1150273672028426
CIA_30,4.960346474888024,2.8301581863866305
CIA_31,10.51590946781457,1.9688886402691002
CIA_32,13.556460521087741,0.595450123591965
CIA_33,10.777472341110826,4.319488889456941
CIA_34,11.154817859841767,3.4330765899337297
CIA_35,14.860611049322156,2.0788521731845804
CIA_36,0.6897277890373301,5.478254569264078
CIA_37,7.199507529959868,3.1776152989881714
CIA_38,12.818487677692639,3.4353793425582695
CIA_39,9.519081830453167,4.031895444492815
CIA_40,10.355929558710262,-1.0944408316361818
CIA_41,13.99624046411405,4.2978167251009305
CIA_42,11.88364412376191,4.288159275036913
CIA_43,13.192101232440095,3.5611074795100364
CIA_docs.txt,-302.5805201417296,53.35132920045322
DIA_01,10.497151229696094,2.36859548460913
DIA_02,5.318077032070068,1.5528658959194952
DIA_03,4.046084593632826,-1.8607597226578507
DIA_docs.txt,-12.881918106840452,-2.773077267655972
FBI_01,-0.7556403011675716,-0.022453125252448178
FBI_02,0.7179605274789367,-5.598502372202452
FBI_03,5.194319908885866,10.2475473941932
FBI_04,9.09038401758246,2.8683325952088254
FBI_05,3.73423966276105,0.3136850133538345
FBI_06,2.212797344456822,2.520752967104051
FBI_07,9.047460395026603,1.443518857644588
FBI_08,-3.046438263946556,-0.3940907060978443
FBI_09,0.8139298533056037,-2.4362727129801116
FBI_10,-9.90856900093327,-4.702887169101169
FBI_11,-3.7818166749493187,3.8404000945989876
FBI_12,9.30062665092811,-1.5419526976789657
FBI_13,1.9484003300453558,-8.775659046966393
FBI_14,-1.3670263350063356,12.992822727071939
FBI_15,8.92540573883216,-2.257983788367788
FBI_16,10.215593413378052,-2.8021911690767927
FBI_17,13.801335185510041,3.517922776724295
FBI_18,10.628360811613824,-5.460143419624649
FBI_19,-13.757241421912129,-20.77794187495207
FBI_20,6.509803923015379,6.348778403707105
FBI_21,6.188363864579009,-1.1939803867361505
FBI_22,-0.0881635869756453,4.435883536290237
FBI_23,-2.026674962435147,8.169160030505363
FBI_24,9.562783064670427,-2.433222590818068
FBI_25,5.38205934222528,1.3868360560471602
FBI_26,12.763846105505229,4.021257949604736
FBI_27,13.164635268645554,2.135068662759843
FBI_28,6.48566530672282,2.342470530307075
FBI_29,15.138529583421908,5.108897096668523
FBI_30,13.94802453281834,1.6295695275255275
FBI_31,5.087472282891667,6.006118035494326
FBI_32,8.71978747086058,3.0574619970885037
FBI_33,13.44122654883978,-2.6577176318124933
FBI_34,4.67230547104148,1.783706662406781
FBI_35,-9.429744387093903,0.48597826349821166
FBI_36,2.2352465828586823,3.5930221313120154
FBI_37,7.8359784309481775,-5.176816715977933
FBI_38,7.567348131168363,-4.326244182118747
FBI_39,15.676934538106918,1.528374069582218
FBI_40,4.815875576794802,-2.0569429230260896
FBI_41,-1.798250391279584,-4.731722318534784
FBI_docs.txt,-457.60664991652527,-48.02602844744979
NSA_01,11.885602302541471,-0.8761468464646777
NSA_02,11.266015674912758,-2.8626861842546107
NSA_03,13.355144110839005,-1.4410741865526002
NSA_04,10.615344368480477,1.6899304405116593
NSA_05,13.429962922463845,-0.3059817629424565
NSA_06,10.21915586044196,2.1149510453148963
NSA_07,12.520098045852286,-2.2170491008691338
NSA_08,10.354431804927513,-3.211010288367058
NSA_09,12.293790954349113,-3.3346333010743807
NSA_10,11.623198221165337,-3.137929139636386
NSA_11,11.041663376720846,0.2669245586451111
NSA_12,11.127101931752772,-1.0828617636385585
NSA_13,11.719376370578427,-3.2966896839680553
NSA_14,14.283475109771052,0.19867519302698725
NSA_15,12.081532050661071,-1.8015427765062828
NSA_16,4.654050753511977,-2.749572764320961
NSA_17,10.547697489953315,0.5137467322313799
NSA_18,11.948270374554607,-0.420838788400049
NSA_19,9.981312396712726,0.5667875516054782
NSA_20,12.684002236577845,-0.9594602575535219
NSA_21,13.236518161262874,-0.23566293986325385
NSA_22,8.143254496436892,-1.9162148349831756
NSA_docs.txt,-109.67242709371267,-54.611715158281875
USCBP_01,9.556821328364387,6.8609639093734005
USCBP_02,11.384499916071507,1.2915116651887413
USCBP_docs.txt,1.2055588586267902,8.379008707862926
